,Unnamed: 0,French,English
0,1,histoire,history
1,2,seulement,only
2,3,police,police
3,4,pensais,thought
4,5,aide,help
5,6,demande,request
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,laisser,let
10,11,car,because
11,12,mettre,to put
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,24,vont,will
23,25,pendant,while
24,26,revoir,meet again
25,27,aucune,any
26,28,place,square
27,29,parle,speak
28,30,compris,understood
29,31,savais,knew
30,32,étaient,were
31,33,attention,Warning
32,34,voici,here is
33,35,pourrais,could
34,36,affaire,case
35,37,donner,give
36,38,type,type
37,39,leurs,their
38,40,donné,given
39,41,train,train
40,42,corps,body
41,43,endroit,place
42,44,yeux,eyes
43,45,façon,way
44,46,écoute,listen
45,47,dont,whose
46,48,trouve,find
47,49,premier,first
48,50,perdu,lost
49,51,main,hand
50,52,première,first
51,53,côté,side
52,54,pouvoir,power
53,55,vieux,old
54,56,sois,be
55,57,tiens,here
56,58,matin,morning
57,60,enfant,child
58,61,point,point
59,62,venu,came
60,63,suite,after
61,64,pardon,sorry
62,65,venez,come
63,66,devant,in front of
64,67,vers,towards
65,68,minutes,minutes
66,69,demandé,request
67,70,chambre,bedroom
68,71,mis,placed
69,72,belle,beautiful
70,74,aimerais,would like to
71,75,aujourd'hui,today
72,76,mari,husband
73,77,cause,cause
74,78,enfin,finally
75,79,espère,hope
76,80,eau,water
77,81,attendez,Wait
78,82,parti,left
79,83,nouvelle,new
80,84,boulot,job
81,85,arrêter,Stop
82,86,dirait,would say
83,87,terre,Earth
84,88,compte,account
85,89,donne,given
86,90,loin,far
87,91,fin,end
88,92,croire,believe
89,93,chérie,sweetheart
90,94,gros,large
91,95,plutôt,rather
92,96,aura,will have
93,97,filles,girls
94,98,jouer,to play
95,99,bureau,office
